"type","processing","min","max","calories","protein","fats","carbohydrates","A","B","C"
"норма","норма_мин","0","0","7000.0","367.0","490.0","2100.0","4900.0","14.0","420.0"
"норма","норма_макс","7","7","9100.0","490.0","367.0","560.0","5600","35","560"
"морковь","морковь","0.310","0.500","410","9","2","68","8350","82.85","59"
"картошка","варёная","0.4","0.600","820","20","4","167","0","0","0"
"капуста","капуста","0.3","1","280","18","2","47","30","0.6","600"
"редис","редис","0.2","0.6","160","6.8","1","34","0","0.1","50"
"свекла","свекла","0.1","0.49","430","16","2","96","20","0.2","250"
"огурец","огурец","0.4","1.4","150","6.5","1.1","36.3","100","0.3","0"
"щавель","щавель","0","0.3","220","20","7","32","2000","0.4","480"
"салат","салат","0.2","0.3","120","13","2","28","2920","0.3","1.5"
"укроп","укроп","0","0.3","380","25","5","63","3860","0.58","850"
"лук","лук","0.2","0.3","400","11","1","9.34","0","0.5","100"
"чуфа","чуфа","0.2","0.2","6090","186","537","130","0","0","0"
"пшеница","пшеница","0.7","1","3050","118","22","595","20","4.4","0"
"фасоль","фасоль","0.1","0.300","2980","210","20","470","0","0.5","4.5"
"горох","горох","0.1","0.7","550","50","2","83","670","3.4","250"
"рис","рис","0.3","1.5","3250","69","10","722","0","0","0"
